Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,87740,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,376,Israel,,,,,,,,,01,Animals; live,0,,,,,,,,40,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,2878,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,11223,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,337599,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,202777,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,3008560,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1270502,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,11108,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,600,Paraguay,,,,,,,,,01,Animals; live,0,,,,,,,,1385836,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,228505,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,643,Russian Federation,,,,,,,,,01,Animals; live,0,,,,,,,,275,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,01,Animals; live,0,,,,,,,,916,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,111417,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,2050573,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,32,Argentina,,,,,,,,,01,Animals; live,0,,,,,,,,254545,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,68,Bolivia,,,,,,,,,01,Animals; live,0,,,,,,,,431,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1333481,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,125008,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,192,Cuba,,,,,,,,,01,Animals; live,0,,,,,,,,5312,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,1713,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,11815,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,228615,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,01,Animals; live,0,,,,,,,,54211,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,34823,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,862,Venezuela,,,,,,,,,01,Animals; live,0,,,,,,,,619,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,3095669,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,68,Bolivia,,,,,,,,,01,Animals; live,0,,,,,,,,486,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1151253,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,01,Animals; live,0,,,,,,,,1448489,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,10076,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,347383,,,0
