NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
CHIMBORAZO,06,Chunchi,0605,46482.3400346961,16892.2715977913,29590.0684369048,2018,Provicional
CHIMBORAZO,06,Guamote,0606,148268.649349507,57546.1199521601,90722.5293973472,2018,Provicional
CHIMBORAZO,06,Guano,0607,141092.000190951,57922.5826322259,83169.4175587251,2018,Provicional
CHIMBORAZO,06,Pallatanga,0608,34476.3192461023,12954.0351726039,21522.2840734984,2018,Provicional
CHIMBORAZO,06,Penipe,0609,19366.1483011614,6864.11297489311,12502.0353262682,2018,Provicional
CHIMBORAZO,06,Cumandá,0610,86002.8177937,33922.5664461583,52080.2513475418,2018,Provicional
EL ORO,07,Machala,0701,3679149.71310641,1537435.41750416,2141714.29560225,2018,Provicional
EL ORO,07,Arenillas,0702,124364.545400013,50511.3561520379,73853.1892479753,2018,Provicional
EL ORO,07,Atahualpa,0703,23410.1927855565,10639.9479572506,12770.244828306,2018,Provicional
EL ORO,07,Balsas,0704,78442.5051756784,35312.7706639531,43129.7345117252,2018,Provicional
EL ORO,07,Chilla,0705,11226.1996974464,4255.30251450727,6970.8971829391,2018,Provicional
EL ORO,07,El Guabo,0706,585346.103897063,264224.393884228,321121.710012835,2018,Provicional
EL ORO,07,Huaquillas,0707,263403.260804874,104109.167276161,159294.093528713,2018,Provicional
EL ORO,07,Marcabelí,0708,24883.5383003612,11094.1346846216,13789.4036157396,2018,Provicional
EL ORO,07,Pasaje,0709,430457.312325287,176871.915497372,253585.396827916,2018,Provicional
EL ORO,07,Piñas,0710,191416.680045613,77454.9613083981,113961.718737215,2018,Provicional
EL ORO,07,Portovelo,0711,78154.8558593148,28065.2342433673,50089.6216159476,2018,Provicional
EL ORO,07,Santa Rosa,0712,478498.536211252,191888.617737161,286609.918474091,2018,Provicional
EL ORO,07,Zaruma,0713,136461.42016012,51502.6830565785,84958.7371035417,2018,Provicional
EL ORO,07,Las Lajas,0714,16964.6885129159,7961.40633704329,9003.28217587259,2018,Provicional
ESMERALDAS,08,Esmeraldas,0801,1806516.5150819,704191.554420786,1102324.96066111,2018,Provicional
ESMERALDAS,08,Eloy Alfaro,0802,305670.899267752,85193.7984141213,220477.100853631,2018,Provicional
ESMERALDAS,08,Muisne,0803,122059.435503786,34197.6656671195,87861.7698366665,2018,Provicional
ESMERALDAS,08,Quinindé,0804,860012.300260263,318099.548832969,541912.751427295,2018,Provicional
ESMERALDAS,08,San Lorenzo,0805,142557.515502508,41709.9849646098,100847.530537898,2018,Provicional
ESMERALDAS,08,Atacames,0806,318111.274165485,119867.230039784,198244.044125702,2018,Provicional
ESMERALDAS,08,Rioverde,0807,127864.268262584,32463.0264348384,95401.241827746,2018,Provicional
GUAYAS,09,Guayaquil,0901,38462039.2455681,17379767.6799427,21082271.5656253,2018,Provicional
GUAYAS,09,Alfredo Baquerizo Moreno,0902,77346.9828674641,33359.9897444272,43986.9931230369,2018,Provicional
GUAYAS,09,Balao,0903,93307.9767962712,37544.4597162535,55763.5170800177,2018,Provicional
GUAYAS,09,Balzar,0904,140068.363759939,49932.1741182587,90136.1896416806,2018,Provicional
GUAYAS,09,Colimes,0905,97491.1277309816,42386.501266276,55104.6264647056,2018,Provicional
GUAYAS,09,Daule,0906,747553.038412585,258143.479315165,489409.55909742,2018,Provicional
GUAYAS,09,Durán,0907,3631781.55579535,2079466.19101564,1552315.36477972,2018,Provicional
GUAYAS,09,El Empalme,0908,301120.230612271,127201.87553388,173918.355078391,2018,Provicional
GUAYAS,09,El Triunfo,0909,251810.834457587,101477.486617567,150333.347840021,2018,Provicional
GUAYAS,09,Milagro,0910,939392.199366289,395844.317350073,543547.882016216,2018,Provicional
GUAYAS,09,Naranjal,0911,422962.139472313,177256.108387398,245706.031084915,2018,Provicional
GUAYAS,09,Naranjito,0912,111091.841665927,41667.2417827429,69424.599883184,2018,Provicional
GUAYAS,09,Palestina,0913,74098.7232028511,33434.6059132105,40664.1172896406,2018,Provicional
GUAYAS,09,Pedro Carbo,0914,97931.5605688612,35198.9163816302,62732.644187231,2018,Provicional
GUAYAS,09,Samborondón,0916,1510079.53511999,561402.543629408,948676.991490581,2018,Provicional
GUAYAS,09,Santa Lucía,0918,88474.7193008758,38694.3342358287,49780.3850650472,2018,Provicional
GUAYAS,09,Salitre (Urbina Jado),0919,82171.09416933,27703.8998852057,54467.1942841244,2018,Provicional
GUAYAS,09,Yaguachi,0920,633925.810267425,329599.959119801,304325.851147625,2018,Provicional
GUAYAS,09,Playas (General Villamil),0921,161062.315812976,56430.3509100943,104631.964902882,2018,Provicional
GUAYAS,09,Simón Bolívar,0922,170514.713875698,70787.698344882,99727.0155308163,2018,Provicional
GUAYAS,09,Coronel Marcelino Maridueña,0923,576909.527526082,309662.191603662,267247.33592242,2018,Provicional
GUAYAS,09,Lomas De Sargentillo,0924,45926.0648312021,18050.384701602,27875.6801296001,2018,Provicional
GUAYAS,09,Nobol,0925,89305.4263960031,42171.6364354403,47133.7899605628,2018,Provicional
GUAYAS,09,General Antonio Elizalde,0927,48952.0816016423,18079.4880584993,30872.593543143,2018,Provicional
GUAYAS,09,Isidro Ayora,0928,83375.9981401648,36298.493999828,47077.5041403369,2018,Provicional
IMBABURA,10,Ibarra,1001,1924933.15642718,740915.010104914,1184018.14632226,2018,Provicional
IMBABURA,10,Antonio Ante,1002,268419.366631777,117863.664905229,150555.701726548,2018,Provicional
IMBABURA,10,Cotacachi,1003,170715.765991864,62120.3192871884,108595.446704675,2018,Provicional
IMBABURA,10,Otavalo,1004,768138.380823101,350188.139378031,417950.24144507,2018,Provicional
IMBABURA,10,Pimampiro,1005,24657.531117286,8888.88896138456,15768.6421559014,2018,Provicional
IMBABURA,10,San Miguel De Urcuquí,1006,84262.2952975789,30753.9040018471,53508.3912957318,2018,Provicional
LOJA,11,Loja,1101,2136726.83220319,828210.788203185,1308516.04400001,2018,Provicional
LOJA,11,Calvas,1102,73366.3924997247,23182.3446829392,50184.0478167854,2018,Provicional
LOJA,11,Catamayo,1103,163000.126741008,72919.0780534925,90081.0486875154,2018,Provicional
LOJA,11,Celica,1104,31526.6022411492,10493.2110374205,21033.3912037288,2018,Provicional
LOJA,11,Chaguarpamba,1105,27017.3184173923,10134.1934887519,16883.1249286404,2018,Provicional
LOJA,11,Espíndola,1106,29512.9571510187,9690.39423565966,19822.5629153591,2018,Provicional
LOJA,11,Gonzanamá,1107,37719.9814525362,13662.9387264531,24057.0427260831,2018,Provicional
LOJA,11,Macará,1108,80053.0588172697,29957.4022409967,50095.656576273,2018,Provicional
LOJA,11,Paltas,1109,55847.9583518131,17959.6982046416,37888.2601471715,2018,Provicional
LOJA,11,Puyango,1110,47770.141791031,16484.2645065428,31285.8772844883,2018,Provicional
LOJA,11,Saraguro,1111,91485.4370881977,32192.1707350354,59293.2663531623,2018,Provicional
LOJA,11,Sozoranga,1112,15292.3627080168,5557.68199041383,9734.68071760296,2018,Provicional
LOJA,11,Zapotillo,1113,28088.8685922087,9343.61619897671,18745.252393232,2018,Provicional
LOJA,11,Pindal,1114,24362.6095994497,8722.44942218258,15640.1601772671,2018,Provicional
LOJA,11,Quilanga,1115,16178.3031312557,6107.29781772618,10071.0053135295,2018,Provicional
