CANTON_CODIGO,VOTOS_DANIEL_23,VOTOS_LUISA_23,SUFRAGANTES_23,PORC_LUISA_23,PORC_DANIEL_23,VOTOS_DANIEL_25,VOTOS_LUISA_25,SUFRAGANTES_25,PORC_LUISA_25,PORC_DANIEL_25
0545,18165.0,27304.0,51243.0,0.5328337529028355,0.35448744218722555,22704.0,24435.0,52460.0,0.46578345406023636,0.43278688524590164
0546,4712.0,5938.0,11858.0,0.5007589812784617,0.39736886490133244,5851.0,5451.0,12241.0,0.4453067559839882,0.4779838248509109
0550,8446.0,20612.0,31320.0,0.6581098339719029,0.26966794380587483,9131.0,20395.0,31672.0,0.6439441778226825,0.2882988128315231
0555,1888.0,3691.0,6009.0,0.6142452987185888,0.31419537360625727,2262.0,3349.0,5954.0,0.5624790057104467,0.3799126637554585
0556,4558.0,9307.0,14789.0,0.6293190885117317,0.30820204205828655,5771.0,8428.0,15136.0,0.5568181818181818,0.38127642706131076
0560,59708.0,58248.0,131627.0,0.4425231905308181,0.45361513975096296,75710.0,48742.0,134829.0,0.3615097642198637,0.5615260811843149
0561,4050.0,14590.0,21039.0,0.693474024430819,0.19249964351917867,6563.0,12577.0,21213.0,0.5928911516522887,0.30938575401876206
0565,5869.0,20451.0,29375.0,0.696204255319149,0.19979574468085107,9402.0,17891.0,30362.0,0.589256307226138,0.3096633950332653
0570,4431.0,15458.0,21528.0,0.7180416202155333,0.20582497212931997,5640.0,14795.0,21875.0,0.6763428571428571,0.2578285714285714
0575,29215.0,45676.0,84002.0,0.5437489583581343,0.34778933834908693,40486.0,38463.0,86570.0,0.4442994108813677,0.46766778329675407
0580,6626.0,17184.0,27149.0,0.6329514899259642,0.24406055471656415,8135.0,17258.0,28222.0,0.6115087520374176,0.2882503011834739
0585,1480.0,1520.0,3166.0,0.4801010739102969,0.4674668351231838,1359.0,1249.0,2817.0,0.44337948171813985,0.48242811501597443
0590,17886.0,8727.0,28783.0,0.3031998054407115,0.6214084702775944,19896.0,8658.0,30353.0,0.2852436332487728,0.6554871017691826
0595,8022.0,3095.0,11962.0,0.2587359973248621,0.6706236415315164,8828.0,2955.0,12424.0,0.23784610431423053,0.710560206052801
0600,4440.0,1659.0,6405.0,0.25901639344262295,0.6932084309133489,4556.0,1648.0,6490.0,0.2539291217257319,0.7020030816640986
0605,3997.0,2172.0,6533.0,0.3324659421399051,0.6118169294351753,4206.0,2172.0,6691.0,0.3246151546853983,0.6286055895979674
0610,7457.0,4588.0,12971.0,0.3537121270526559,0.574897849047876,8006.0,4568.0,13306.0,0.3433037727341049,0.6016834510747031
0611,3001.0,1159.0,4447.0,0.2606251405441871,0.6748369687429728,3280.0,1198.0,4797.0,0.2497394204711278,0.6837606837606838
0615,3910.0,2010.0,6366.0,0.3157398680490104,0.6142004398366321,4198.0,2009.0,6561.0,0.306203322664228,0.6398414875781131
0620,34395.0,11255.0,47965.0,0.23465026581882623,0.7170853747524236,38596.0,10331.0,50897.0,0.20297856455193822,0.7583158142916085
0621,2449.0,696.0,3298.0,0.2110369921164342,0.7425712553062462,2541.0,698.0,3349.0,0.20842042400716632,0.7587339504329651
0625,26006.0,36433.0,67394.0,0.5405970857939876,0.385880048669021,28045.0,38557.0,71032.0,0.5428116905056876,0.39482205203288656
0626,1856.0,3813.0,6015.0,0.6339152119700748,0.3085619285120532,1922.0,3997.0,6236.0,0.6409557408595253,0.3082103912764593
0630,1217.0,2313.0,3735.0,0.619277108433735,0.32583668005354754,1269.0,2465.0,3897.0,0.6325378496279189,0.325635103926097
0635,2898.0,1826.0,5038.0,0.3624454148471616,0.575228265184597,3131.0,1842.0,5260.0,0.3501901140684411,0.5952471482889734
0640,1460.0,1632.0,3225.0,0.5060465116279069,0.45271317829457364,1451.0,1605.0,3181.0,0.5045583149952845,0.4561458660798491
